Dataset,Accuracy,Precision,Recall,F1 Score
Train (Final),0.9556665625975648,0.9556398732991639,0.9556506849315068,0.9556302798580193
Validation (Best),0.9225,0.9224467893217894,0.9225,0.9222382882556135
Test,0.9526184538653366,0.9526414471804323,0.9525495049504951,0.9523961183287557
