epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,1.281506346792792,0.5120199812675617,0.5153630777039153,0.5118415317559153,0.494546676847306,1.0775113534927367,0.6325,0.660975602568523,0.6325000000000001,0.5872173121372866
2,0.9175440839332154,0.6849828285981892,0.6768369445548574,0.6848275996264009,0.6780674442177195,0.8849228858947754,0.71,0.7313453159041394,0.71,0.701630091770203
3,0.799295282749098,0.7549172650640025,0.752881078369649,0.7548311021170611,0.753398180856621,0.746016583442688,0.8025,0.8070196645008345,0.8025,0.8029113258279282
4,0.7681413448642204,0.7674055572900406,0.7664158352649624,0.7673346046077212,0.7667450323811269,0.7953469657897949,0.7625,0.7849730142147472,0.7625,0.762218462346887
5,0.7649086250426655,0.7752107399313144,0.7747098887985573,0.7751354296388543,0.7746875863424438,0.6457371664047241,0.845,0.8564090578298624,0.8450000000000001,0.8475187350580096
6,0.7287806166435382,0.7955042147986263,0.7939823930682606,0.7954339196762142,0.7944984843493708,0.6805898094177246,0.8275,0.8274721457108116,0.8275,0.8241278405781975
7,0.7046872853413992,0.8026849828285982,0.8016704959009614,0.8026436021170611,0.8020666016463358,0.6139328932762146,0.855,0.8615969649472784,0.855,0.8553169519556074
8,0.675650374315472,0.8257883234467687,0.8252856263405103,0.8257359122042341,0.8254923976705024,0.641220691204071,0.8525,0.8643881031791327,0.8525,0.8544323511458859
9,0.6410700556564212,0.8529503590384016,0.8523908485542556,0.852902397260274,0.8525448813482583,0.6404688954353333,0.84,0.8547808296048569,0.84,0.84258969762234
10,0.6255477258201096,0.8485794567592881,0.8487816062598326,0.8485449097135741,0.8486259331103723,0.6740363264083862,0.8275,0.8324439150521223,0.8275,0.8241378354701681
11,0.5963363992471901,0.8716827973774587,0.8707376077426103,0.8716243773349939,0.8709904975453061,0.5960567855834961,0.8775,0.885683583778339,0.8775,0.8787657751282374
12,0.5825647603449433,0.876053699656572,0.8756639817156013,0.876016889788294,0.8757583080533358,0.5821682810783386,0.8725,0.8751827570638931,0.8725,0.8725231054992288
13,0.5462755201162862,0.8997814548860443,0.8996437835156332,0.8997458748443337,0.8995848922081879,0.5653962755203247,0.885,0.8899572964038736,0.885,0.8862923326547113
14,0.5299501599946916,0.9103965032781767,0.9103078615191704,0.910373209838107,0.9103300640651308,0.5304711151123047,0.9125,0.912809540689725,0.9125000000000001,0.9121224097863433
15,0.49257827977482094,0.9235092101155167,0.9233835831023316,0.9234900373599004,0.9234192966302469,0.532338194847107,0.9,0.9016454292112884,0.9,0.9005686513058191
16,0.48282730895729314,0.9319388073680924,0.9319069247891412,0.9319228673723536,0.9319117994799427,0.5078574585914611,0.9075,0.9079773777865393,0.9075,0.9071071724709784
17,0.4704988620223904,0.9384951607867624,0.9382971795704715,0.9384701899128268,0.9383470601494633,0.49562098026275636,0.9225,0.9224467893217894,0.9225,0.9222382882556135
18,0.4524004920512261,0.947236965344989,0.9472449361345701,0.9472283623910336,0.9472298834133521,0.5204255723953247,0.905,0.9050235408856419,0.905,0.904867332934203
19,0.44809750678053206,0.9506712457071496,0.9508049958355946,0.9506646948941468,0.9507146511630632,0.5056888055801392,0.915,0.9148970805093574,0.915,0.9144683750287934
20,0.4428426977101617,0.9556665625975648,0.9556398732991639,0.9556506849315068,0.9556302798580193,0.5114539909362793,0.91,0.9113111311131112,0.91,0.9095357459124449
